Length	GCpercent	ACAUACU	ACAUAC	ACAUA	ACAU	ACA	GCGCGG	GCGCG	GCGC	Type
60	0.7333333333333333	0	0	0	0	0	0	0	0	3pUTR
17	0.5882352941176471	0	0	0	0	0	0	0	0	3pUTR
17	0.5882352941176471	0	0	0	0	0	0	0	0	3pUTR
208	0.5048076923076923	0	0	0	0	1	0	0	0	3pUTR
601	0.3527454242928453	0	0	0	0	10	0	0	1	3pUTR
1559	0.4393842206542656	0	0	0	2	20	0	0	1	3pUTR
914	0.3610503282275711	0	0	0	4	22	0	0	0	3pUTR
180	0.35	0	0	0	0	2	0	0	0	3pUTR
13	0.38461538461538464	0	0	0	0	0	0	0	0	3pUTR
338	0.5621301775147929	0	0	0	0	3	0	0	0	3pUTR
255	0.5529411764705883	0	0	0	0	3	0	0	0	3pUTR
118	0.6610169491525424	0	0	0	0	3	0	0	0	3pUTR
50	0.46	0	0	0	0	2	0	0	0	3pUTR
248	0.43951612903225806	0	0	2	2	3	0	0	0	3pUTR
146	0.363013698630137	0	0	0	0	1	0	0	1	3pUTR
317	0.38801261829652994	0	0	0	2	9	0	0	0	3pUTR
554	0.427797833935018	0	0	1	5	13	0	0	1	3pUTR
152	0.375	0	0	1	2	7	0	0	0	3pUTR
85	0.3058823529411765	0	0	0	0	2	0	0	0	3pUTR
72	0.4166666666666667	0	0	0	0	3	0	0	0	3pUTR
92	0.358695652173913	0	0	0	0	2	0	0	0	3pUTR
112	0.35714285714285715	0	0	0	0	6	0	0	0	3pUTR
85	0.3058823529411765	0	0	0	0	2	0	0	0	3pUTR
65	0.3230769230769231	0	0	0	0	2	0	0	0	3pUTR
65	0.3230769230769231	0	0	0	0	2	0	0	0	3pUTR
5	0.2	0	0	0	0	0	0	0	0	3pUTR
27	0.4074074074074074	0	0	0	0	1	0	0	0	3pUTR
113	0.4424778761061947	0	0	0	0	2	0	0	0	3pUTR
72	0.4166666666666667	0	0	0	0	3	0	0	0	3pUTR
36	0.5	0	0	0	0	1	0	0	0	3pUTR
5	0.2	0	0	0	0	0	0	0	0	3pUTR
27	0.4074074074074074	0	0	0	0	1	0	0	0	3pUTR
65	0.3230769230769231	0	0	0	0	2	0	0	0	3pUTR
56	0.48214285714285715	0	0	0	1	3	0	0	0	3pUTR
5	0.2	0	0	0	0	0	0	0	0	3pUTR
113	0.4424778761061947	0	0	0	0	2	0	0	0	3pUTR
72	0.4166666666666667	0	0	0	0	3	0	0	0	3pUTR
112	0.35714285714285715	0	0	0	0	6	0	0	0	3pUTR
102	0.37254901960784315	0	0	0	1	3	0	0	0	3pUTR
72	0.4166666666666667	0	0	0	0	3	0	0	0	3pUTR
156	0.4230769230769231	0	0	0	1	5	0	0	0	3pUTR
112	0.35714285714285715	0	0	0	0	6	0	0	0	3pUTR
112	0.35714285714285715	0	0	0	0	6	0	0	0	3pUTR
220	0.6590909090909091	0	0	0	0	2	0	0	1	3pUTR
5	0.8	0	0	0	0	0	0	0	0	3pUTR
5	0.8	0	0	0	0	0	0	0	0	3pUTR
437	0.5034324942791762	0	0	1	1	5	0	0	0	3pUTR
956	0.5815899581589958	0	0	1	2	14	0	0	1	3pUTR
69	0.5652173913043478	0	0	0	0	0	0	0	0	3pUTR
52	0.6538461538461539	0	0	0	1	2	0	0	1	3pUTR
211	0.6635071090047393	0	0	0	1	4	0	0	0	3pUTR
3002	0.5336442371752165	0	0	0	7	25	0	0	1	3pUTR
13	0.46153846153846156	0	0	0	0	0	0	0	0	3pUTR
156	0.3974358974358974	0	0	0	1	5	0	0	0	3pUTR
39	0.6153846153846154	0	0	0	0	0	0	0	0	3pUTR
327	0.5871559633027523	0	0	0	1	4	0	0	1	3pUTR
5	0.6	0	0	0	0	0	0	0	0	3pUTR
5	0.6	0	0	0	0	0	0	0	0	3pUTR
5	0.6	0	0	0	0	0	0	0	0	3pUTR
5	0.6	0	0	0	0	0	0	0	0	3pUTR
339	0.4631268436578171	0	0	1	4	8	0	0	0	3pUTR
239	0.46443514644351463	0	0	1	3	7	0	0	0	3pUTR
501	0.5588822355289421	0	0	0	1	8	0	0	0	3pUTR
78	0.5641025641025641	0	0	0	0	1	0	0	0	3pUTR
226	0.48672566371681414	0	0	0	1	4	0	0	0	3pUTR
46	0.5	0	0	0	0	1	0	0	0	3pUTR
152	0.39473684210526316	0	0	0	1	4	0	0	0	3pUTR
54	0.2777777777777778	0	0	0	0	1	0	0	0	3pUTR
324	0.6388888888888888	0	0	0	2	6	0	0	1	3pUTR
72	0.4444444444444444	0	0	0	0	0	0	0	0	3pUTR
95	0.4631578947368421	0	0	0	0	0	0	0	0	3pUTR
297	0.39057239057239057	0	0	2	4	8	0	0	0	3pUTR
335	0.4388059701492537	0	0	0	0	1	0	0	0	3pUTR
136	0.3897058823529412	0	0	0	0	3	0	0	0	3pUTR
36	0.3055555555555556	0	0	0	0	1	0	0	0	3pUTR
10	0.6	0	0	0	0	0	0	0	0	3pUTR
341	0.4750733137829912	0	0	0	2	3	0	0	0	3pUTR
302	0.46688741721854304	0	0	0	0	2	0	1	3	3pUTR
113	0.5398230088495575	0	0	0	0	0	0	0	0	3pUTR
87	0.4827586206896552	0	0	0	0	0	0	0	0	3pUTR
90	0.4777777777777778	0	0	0	0	2	0	0	0	3pUTR
53	0.39622641509433965	0	0	0	0	0	0	0	0	3pUTR
107	0.4953271028037383	0	0	0	1	2	0	0	0	3pUTR
71	0.43661971830985913	0	1	1	1	3	0	0	0	3pUTR
29	0.3793103448275862	0	0	0	0	0	0	0	0	3pUTR
99	0.48484848484848486	0	0	0	0	2	0	0	0	3pUTR
99	0.48484848484848486	0	0	0	0	2	0	0	0	3pUTR
306	0.545751633986928	0	0	0	1	4	0	0	0	3pUTR
67	0.6268656716417911	0	0	0	0	0	0	0	0	3pUTR
8	0.75	0	0	0	0	0	0	0	0	3pUTR
153	0.5882352941176471	0	0	0	0	0	0	0	0	3pUTR
20	0.55	0	0	0	0	1	0	0	0	3pUTR
53	0.5094339622641509	0	0	0	0	1	0	0	0	3pUTR
270	0.5962962962962963	0	0	0	1	5	0	0	0	3pUTR
221	0.6425339366515838	0	0	0	0	3	0	0	0	3pUTR
190	0.41578947368421054	0	0	0	1	1	0	0	0	3pUTR
1648	0.36225728155339804	0	0	1	6	23	0	0	0	3pUTR
246	0.5284552845528455	0	0	0	1	10	0	0	0	3pUTR
58	0.5172413793103449	0	0	0	0	1	0	0	0	3pUTR
57	0.5614035087719298	0	0	0	0	0	0	0	0	3pUTR
74	0.6486486486486487	0	0	0	0	0	0	0	0	3pUTR
1325	0.5833962264150944	0	0	0	3	20	0	0	2	3pUTR
42	0.5476190476190477	0	0	0	0	1	0	0	0	3pUTR
74	0.6486486486486487	0	0	0	0	0	0	0	0	3pUTR
155	0.6193548387096774	0	0	0	0	0	0	1	1	3pUTR
614	0.5423452768729642	0	0	1	2	5	0	0	1	3pUTR
18	0.5555555555555556	0	0	0	0	0	0	0	0	3pUTR
100	0.63	0	0	0	0	0	0	0	0	3pUTR
779	0.4326059050064185	0	0	2	4	12	0	0	0	3pUTR
408	0.40931372549019607	0	0	0	4	7	0	0	0	3pUTR
22	0.45454545454545453	0	0	0	0	0	0	0	0	3pUTR
114	0.2719298245614035	0	0	0	0	1	0	0	0	3pUTR
276	0.5543478260869565	0	0	0	0	4	0	1	3	3pUTR
31	0.41935483870967744	0	0	0	1	2	0	0	0	3pUTR
32	0.5625	0	0	0	0	0	0	0	0	3pUTR
214	0.5233644859813084	0	0	0	0	1	0	0	2	3pUTR
94	0.4787234042553192	0	0	0	0	1	0	0	0	3pUTR
110	0.4909090909090909	0	0	0	0	1	0	0	0	3pUTR
275	0.5709090909090909	0	0	0	3	6	0	0	0	3pUTR
11	0.45454545454545453	0	0	0	0	0	0	0	0	3pUTR
107	0.5794392523364486	0	0	0	0	1	0	0	0	3pUTR
32	0.5625	0	0	0	0	0	0	0	0	3pUTR
142	0.5563380281690141	0	0	0	0	3	0	0	0	3pUTR
249	0.5140562248995983	0	0	0	1	6	0	0	0	3pUTR
248	0.5161290322580645	0	0	0	1	6	0	0	0	3pUTR
249	0.5140562248995983	0	0	0	1	6	0	0	0	3pUTR
249	0.5140562248995983	0	0	0	1	6	0	0	0	3pUTR
241	0.5062240663900415	0	0	0	1	6	0	0	0	3pUTR
249	0.5140562248995983	0	0	0	1	6	0	0	0	3pUTR
81	0.5925925925925926	0	0	0	0	0	0	0	0	3pUTR
145	0.5448275862068965	0	0	0	1	3	0	0	0	3pUTR
149	0.6375838926174496	0	0	0	0	1	0	0	0	3pUTR
89	0.4943820224719101	0	0	0	1	3	0	0	0	3pUTR
52	0.5769230769230769	0	0	0	0	0	0	0	0	3pUTR
141	0.5460992907801419	0	0	0	1	3	0	0	0	3pUTR
602	0.5598006644518272	0	0	0	1	8	0	0	0	3pUTR
43	0.4883720930232558	0	0	0	1	2	0	0	0	3pUTR
121	0.5041322314049587	0	0	0	1	3	0	0	0	3pUTR
16	0.5625	0	0	0	0	1	0	0	0	3pUTR
134	0.39552238805970147	0	0	0	1	3	0	0	0	3pUTR
12	0.08333333333333333	0	0	0	0	0	0	0	0	3pUTR
967	0.43226473629782836	0	0	1	2	15	0	0	2	3pUTR
25	0.48	0	0	0	0	0	0	0	0	3pUTR
391	0.391304347826087	0	0	0	2	9	0	0	0	3pUTR
258	0.5852713178294574	0	0	1	2	5	0	0	0	3pUTR
226	0.6238938053097345	0	0	0	0	2	0	0	1	3pUTR
5	0.6	0	0	0	0	0	0	0	0	3pUTR
30	0.3333333333333333	0	0	0	0	1	0	0	0	3pUTR
182	0.26373626373626374	0	0	0	0	2	0	0	0	3pUTR
70	0.44285714285714284	0	0	0	0	1	0	0	0	3pUTR
80	0.2875	0	0	0	0	2	0	0	0	3pUTR
368	0.532608695652174	0	0	0	1	3	0	0	0	3pUTR
16	0.5625	0	0	0	0	1	0	0	0	3pUTR
368	0.532608695652174	0	0	0	1	3	0	0	0	3pUTR
1245	0.5236947791164659	0	0	0	5	12	0	0	0	3pUTR
1357	0.5217391304347826	0	0	0	5	14	0	0	0	3pUTR
27	0.4074074074074074	0	0	0	0	1	0	0	0	3pUTR
49	0.5918367346938775	0	0	0	0	0	0	0	0	3pUTR
10	0.5	0	0	0	0	0	0	0	0	3pUTR
226	0.5	0	0	0	0	1	0	0	0	3pUTR
41	0.43902439024390244	0	0	0	1	1	0	0	0	3pUTR
754	0.4403183023872679	0	0	2	5	14	0	0	0	3pUTR
12	0.5833333333333334	0	0	0	0	1	0	0	0	3pUTR
41	0.43902439024390244	0	0	0	1	1	0	0	0	3pUTR
14	0.5714285714285714	0	0	0	0	0	0	0	0	3pUTR
1161	0.5271317829457365	0	0	0	5	12	0	0	0	3pUTR
383	0.3524804177545692	0	0	1	4	9	0	0	0	3pUTR
241	0.6970954356846473	0	0	0	0	2	0	0	2	3pUTR
194	0.5927835051546392	0	0	0	0	1	0	0	0	3pUTR
1121	0.3238180196253345	0	0	2	9	30	0	0	0	3pUTR
12	0.75	0	0	0	0	0	0	0	0	3pUTR
20	0.4	0	0	0	0	0	0	0	0	3pUTR
307	0.46905537459283386	0	0	1	1	7	0	0	0	3pUTR
58	0.3448275862068966	0	0	0	1	2	0	0	0	3pUTR
621	0.3462157809983897	0	0	0	6	15	0	0	0	3pUTR
1349	0.4625648628613788	0	0	1	5	13	0	0	2	3pUTR
173	0.4277456647398844	0	0	0	1	3	0	0	0	3pUTR
324	0.5154320987654321	0	0	0	2	7	0	0	0	3pUTR
54	0.4444444444444444	0	0	0	0	0	0	0	0	3pUTR
121	0.6115702479338843	0	0	0	0	1	0	0	0	3pUTR
261	0.31417624521072796	0	0	0	0	3	0	0	0	3pUTR
56	0.48214285714285715	0	0	0	0	3	0	0	0	3pUTR
139	0.4172661870503597	0	0	0	0	1	0	0	1	3pUTR
93	0.3010752688172043	0	0	0	0	1	0	0	0	3pUTR
120	0.30833333333333335	0	0	0	1	4	0	0	0	3pUTR
7	0.5714285714285714	0	0	0	0	1	0	0	0	3pUTR
7	0.2857142857142857	0	0	0	0	0	0	0	0	3pUTR
69	0.43478260869565216	0	1	1	1	2	0	0	0	3pUTR
1563	0.5515035188739603	0	0	0	0	17	0	2	5	3pUTR
122	0.4918032786885246	0	0	0	0	1	0	0	0	3pUTR
63	0.5555555555555556	0	0	0	0	1	0	0	0	3pUTR
90	0.6	0	0	0	0	0	0	0	0	3pUTR
60	0.43333333333333335	0	0	0	0	0	0	0	0	3pUTR
71	0.5492957746478874	0	0	0	0	2	0	0	0	3pUTR
90	0.6	0	0	0	0	0	0	0	0	3pUTR
98	0.45918367346938777	0	0	0	1	2	0	0	0	3pUTR
89	0.6179775280898876	0	0	0	0	1	0	0	0	3pUTR
11	0.45454545454545453	0	0	0	0	1	0	0	0	3pUTR
3	0.3333333333333333	0	0	0	0	0	0	0	0	3pUTR
129	0.49612403100775193	0	0	0	0	2	0	0	0	3pUTR
34	0.5294117647058824	0	0	0	1	1	0	0	0	3pUTR
130	0.45384615384615384	0	0	1	2	6	0	0	0	3pUTR
461	0.3839479392624729	0	0	0	3	11	0	0	0	3pUTR
72	0.5277777777777778	0	0	0	0	2	0	0	0	3pUTR
165	0.6	0	0	0	0	2	0	0	0	3pUTR
1559	0.5509942270686338	0	0	0	0	17	0	2	5	3pUTR
103	0.5242718446601942	0	0	0	0	2	0	0	0	3pUTR
81	0.48148148148148145	0	0	0	0	0	0	0	0	3pUTR
1495	0.5063545150501673	0	0	0	1	19	0	0	1	3pUTR
375	0.6266666666666667	0	0	0	2	3	0	0	0	3pUTR
152	0.5921052631578947	0	0	0	1	4	0	0	0	3pUTR
156	0.5833333333333334	0	0	0	2	5	0	0	0	3pUTR
80	0.5875	0	0	0	1	3	0	0	0	3pUTR
460	0.5347826086956522	0	0	0	1	12	0	0	1	3pUTR
96	0.5104166666666666	0	0	0	0	2	0	0	0	3pUTR
690	0.5463768115942029	0	0	0	1	8	0	0	2	3pUTR
73	0.2602739726027397	0	0	0	1	2	0	0	0	3pUTR
204	0.4264705882352941	0	0	0	0	5	0	0	0	3pUTR
1522	0.5893561103810775	0	0	0	2	29	0	1	1	3pUTR
435	0.7517241379310344	0	0	0	0	1	0	1	4	3pUTR
167	0.437125748502994	0	1	1	2	4	0	0	0	3pUTR
295	0.576271186440678	0	0	0	1	5	0	0	0	3pUTR
223	0.6188340807174888	0	0	0	0	6	0	0	2	3pUTR
68	0.4411764705882353	0	0	0	0	1	0	0	0	3pUTR
548	0.38321167883211676	0	0	1	3	14	0	0	0	3pUTR
92	0.45652173913043476	0	0	0	0	2	0	0	0	3pUTR
8	0.625	0	0	0	0	0	0	0	0	3pUTR
25	0.56	0	0	0	0	0	0	0	0	3pUTR
92	0.45652173913043476	0	0	0	0	2	0	0	0	3pUTR
34	0.47058823529411764	0	0	0	0	2	0	0	0	3pUTR
88	0.4659090909090909	0	0	0	0	2	0	0	0	3pUTR
1165	0.40171673819742487	0	0	1	4	27	0	0	0	3pUTR
562	0.40213523131672596	0	0	2	3	9	0	0	0	3pUTR
557	0.5062836624775583	0	0	0	3	6	0	0	0	3pUTR
243	0.48559670781893005	0	0	0	3	6	0	0	0	3pUTR
281	0.5551601423487544	0	0	0	0	2	0	0	1	3pUTR
58	0.3448275862068966	0	0	0	0	2	0	0	0	3pUTR
154	0.5454545454545454	0	0	0	0	3	0	0	0	3pUTR
32	0.4375	0	0	0	0	2	0	0	0	3pUTR
157	0.5987261146496815	0	0	0	0	1	0	0	1	3pUTR
358	0.36312849162011174	1	2	3	4	14	0	0	0	3pUTR
197	0.5126903553299492	0	0	0	0	4	0	0	0	3pUTR
276	0.36594202898550726	1	1	2	3	8	0	0	0	3pUTR
32	0.5625	0	0	0	0	0	0	0	0	3pUTR
116	0.39655172413793105	0	0	2	2	3	0	0	0	3pUTR
88	0.5568181818181818	0	0	0	0	0	0	0	0	3pUTR
49	0.3877551020408163	0	0	0	0	2	0	0	0	3pUTR
413	0.6150121065375302	0	0	0	0	9	0	0	1	3pUTR
413	0.6150121065375302	0	0	0	0	9	0	0	1	3pUTR
76	0.5921052631578947	0	0	0	0	1	0	0	0	3pUTR
76	0.5921052631578947	0	0	0	0	1	0	0	0	3pUTR
169	0.5562130177514792	0	0	0	0	1	0	0	0	3pUTR
609	0.43842364532019706	0	1	1	4	9	0	0	0	3pUTR
54	0.5740740740740741	0	0	0	0	0	0	0	0	3pUTR
225	0.3688888888888889	0	0	1	2	10	0	0	0	3pUTR
2	1.0	0	0	0	0	0	0	0	0	3pUTR
79	0.6708860759493671	0	0	0	0	0	0	0	1	3pUTR
7	0.42857142857142855	0	0	0	0	0	0	0	0	3pUTR
39	0.5641025641025641	0	0	0	0	1	0	0	0	3pUTR
990	0.3595959595959596	0	1	4	10	23	0	0	1	3pUTR
69	0.5072463768115942	0	0	0	0	0	0	0	0	3pUTR
176	0.44886363636363635	0	0	0	1	5	0	0	0	3pUTR
65	0.4461538461538462	0	0	0	0	0	0	0	0	3pUTR
193	0.38860103626943004	0	0	0	0	6	0	0	0	3pUTR
1087	0.3532658693652254	0	0	1	6	17	0	0	0	3pUTR
1907	0.37231253277399057	0	0	3	7	45	0	0	0	3pUTR
202	0.4801980198019802	0	0	0	1	1	0	0	0	3pUTR
686	0.3629737609329446	0	0	0	3	9	0	0	0	3pUTR
675	0.4103703703703704	0	0	1	4	19	0	0	2	3pUTR
572	0.4178321678321678	0	0	0	1	9	0	0	0	3pUTR
74	0.43243243243243246	0	0	0	0	0	0	0	0	3pUTR
10	0.7	0	0	0	0	0	0	0	0	3pUTR
70	0.5	0	0	0	0	1	0	0	0	3pUTR
171	0.5497076023391813	0	0	0	0	2	0	0	0	3pUTR
34	0.3235294117647059	0	0	0	0	0	0	0	0	3pUTR
3286	0.4153986609860012	0	1	3	12	53	0	0	0	3pUTR
324	0.42592592592592593	0	0	0	0	4	0	0	0	3pUTR
34	0.3235294117647059	0	0	0	0	0	0	0	0	3pUTR
1912	0.39330543933054396	0	1	5	16	65	0	0	0	3pUTR
54	0.6296296296296297	0	0	0	0	1	0	0	0	3pUTR
54	0.6296296296296297	0	0	0	0	1	0	0	0	3pUTR
380	0.46578947368421053	0	0	1	1	8	0	0	0	3pUTR
24	0.5	0	0	0	1	2	0	0	0	3pUTR
303	0.3069306930693069	0	0	0	1	4	0	0	0	3pUTR
209	0.5358851674641149	0	0	0	0	1	0	0	0	3pUTR
148	0.6013513513513513	0	0	0	0	2	0	0	0	3pUTR
63	0.38095238095238093	0	0	0	1	1	0	0	0	3pUTR
1163	0.4075666380051591	1	1	3	6	16	0	0	0	3pUTR
56	0.5535714285714286	0	0	0	0	1	0	0	0	3pUTR
91	0.4725274725274725	0	0	0	0	2	0	0	0	3pUTR
3083	0.3807979240999027	0	1	3	19	56	0	0	0	3pUTR
2816	0.5475852272727273	0	0	0	5	21	0	0	0	3pUTR
35	0.4	0	0	1	1	1	0	0	0	3pUTR
684	0.402046783625731	0	0	1	5	8	0	0	0	3pUTR
73	0.4794520547945205	0	0	1	1	2	0	1	1	3pUTR
801	0.4544319600499376	0	1	1	5	17	0	0	2	3pUTR
395	0.3518987341772152	0	0	2	4	6	0	0	0	3pUTR
324	0.46296296296296297	0	0	0	1	6	0	0	0	3pUTR
324	0.46296296296296297	0	0	0	1	6	0	0	0	3pUTR
247	0.5182186234817814	0	0	0	0	1	0	0	1	3pUTR
29	0.5862068965517241	0	0	0	0	1	0	0	0	3pUTR
190	0.39473684210526316	0	0	0	1	6	0	0	0	3pUTR
40	0.65	0	0	0	0	0	0	0	0	3pUTR
33	0.8787878787878788	0	0	0	0	0	0	0	0	3pUTR
96	0.71875	0	0	0	0	1	0	0	1	3pUTR
144	0.6597222222222222	0	0	0	0	0	0	0	0	3pUTR
108	0.5833333333333334	0	0	0	1	2	0	0	1	3pUTR
88	0.6477272727272727	0	0	0	0	1	0	0	2	3pUTR
97	0.44329896907216493	0	0	0	0	1	0	0	0	3pUTR
73	0.2876712328767123	0	0	1	1	3	0	0	0	3pUTR
192	0.5364583333333334	0	0	0	0	2	1	1	1	3pUTR
32	0.46875	0	0	1	1	4	0	0	0	3pUTR
65	0.4153846153846154	0	1	1	2	4	0	0	0	3pUTR
384	0.53125	0	0	0	1	7	0	0	2	3pUTR
49	0.7346938775510204	0	0	0	0	0	0	0	0	3pUTR
75	0.3333333333333333	0	0	0	0	3	0	0	0	3pUTR
38	0.6842105263157895	0	0	0	0	1	0	0	1	3pUTR
38	0.6842105263157895	0	0	0	0	1	0	0	1	3pUTR
38	0.6842105263157895	0	0	0	0	1	0	0	1	3pUTR
38	0.6842105263157895	0	0	0	0	1	0	0	1	3pUTR
38	0.6842105263157895	0	0	0	0	1	0	0	1	3pUTR
102	0.49019607843137253	0	0	0	0	0	0	0	0	3pUTR
14	0.35714285714285715	0	0	0	0	1	0	0	0	3pUTR
1960	0.3821428571428571	0	1	3	16	70	0	0	0	3pUTR
24	0.2916666666666667	0	0	0	0	0	0	0	0	3pUTR
69	0.37681159420289856	0	0	0	0	0	0	0	0	3pUTR
870	0.3333333333333333	0	0	1	5	21	0	0	0	3pUTR
2064	0.35755813953488375	0	0	2	12	46	0	0	1	3pUTR
287	0.6689895470383276	0	0	0	0	2	0	0	1	3pUTR
1131	0.3041556145004421	0	0	2	6	19	0	0	0	3pUTR
1191	0.3056255247691016	0	0	2	6	21	0	0	0	3pUTR
1191	0.3056255247691016	0	0	2	6	21	0	0	0	3pUTR
106	0.46226415094339623	0	0	0	0	0	0	0	0	3pUTR
42	0.42857142857142855	0	0	0	0	0	0	0	0	3pUTR
103	0.4563106796116505	0	0	0	0	3	0	0	0	3pUTR
101	0.6831683168316832	0	0	0	1	5	0	0	0	3pUTR
101	0.6831683168316832	0	0	0	1	5	0	0	0	3pUTR
133	0.6090225563909775	0	0	0	0	1	0	0	0	3pUTR
82	0.6341463414634146	0	0	0	1	2	0	0	0	3pUTR
402	0.5597014925373134	0	0	0	2	4	0	0	1	3pUTR
128	0.5625	0	0	0	0	2	0	0	0	3pUTR
74	0.44594594594594594	0	0	0	0	2	0	0	0	3pUTR
55	0.5818181818181818	0	0	0	0	1	0	0	0	3pUTR
14	0.7142857142857143	0	0	0	0	0	0	0	0	3pUTR
14	0.7142857142857143	0	0	0	0	0	0	0	0	3pUTR
48	0.4375	0	0	0	0	0	0	0	0	3pUTR
1518	0.32806324110671936	0	0	4	12	27	0	0	0	3pUTR
123	0.3333333333333333	0	0	1	1	2	0	0	0	3pUTR
63	0.5238095238095238	0	0	0	0	0	0	0	0	3pUTR
